practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
2,,"LONGNIDDRY, EAST LOTHIAN",EH320NF,Edinburgh & Lothians (EH32),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Family Dental Care,,"THE PAT GIFFORD DFC BUILDING, HIGH ST., PRESTONPANS",EH329BF,Edinburgh & Lothians (EH32),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Bridge Dental Care,,"33 BRIDGE STREET, TRANENT",EH331AH,Edinburgh & Lothians (EH33),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Arc Smile,,"94 HIGH STREET, TRANENT",EH331HH,Edinburgh & Lothians (EH33),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
1 Dirleton Avenue,,"NORTH BERWICK, EAST LOTHIAN",EH394AX,Edinburgh & Lothians (EH39),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Campbell & Gibson Dental And Implant Cen,,"19 MARKET PLACE, NORTH BERWICK",EH394JF,Edinburgh & Lothians (EH39),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
3 Comely Bank,,"EDINBURGH, NA",EH4 1AN,Edinburgh & Lothians (EH4),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
My Dentist,,"2 MACMILLAN SQUARE, EDINBURGH",EH4 4AB,Edinburgh & Lothians (EH4),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
65 Main Street,,"DAVIDSON'S MAINS, EDINBURGH",EH4 5AD,Edinburgh & Lothians (EH4),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
La Belle Court,,"3 QUALITY STREET, DAVIDSON'S MAINS,EDINBURGH",EH4 5BP,Edinburgh & Lothians (EH4),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
26-28 Main Street,,"DAVIDSON MAINS, EDINBURGH",EH4 5BY,Edinburgh & Lothians (EH4),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Barnton Dental,,"461 QUEENSFERRY ROAD, EDINBURGH",EH4 7ND,Edinburgh & Lothians (EH4),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Barnton Dental Spa,,"1B PARKGROVE STREET, EDINBURGH",EH4 7NS,Edinburgh & Lothians (EH4),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
43/6 Market Street,,"HADDINGTON, NA",EH413JE,Edinburgh & Lothians (EH41),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
78 Market Street,,"HADDINGTON, NA",EH413JJ,Edinburgh & Lothians (EH41),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
40 Court Street,,"HADDINGTON, EAST LOTHIAN",EH413NP,Edinburgh & Lothians (EH41),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
7 Sidegate,,"HADDINGTON, EAST LOTHIAN",EH414BT,Edinburgh & Lothians (EH41),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
7 High Street,,"DUNBAR, EAST LOTHIAN",EH421EN,Edinburgh & Lothians (EH42),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Dunbar Dental Practice,,"95 HIGH STREET, DUNBAR",EH421EN,Edinburgh & Lothians (EH42),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Peebles Dental Practice,,"36 HIGH STREET, PEEBLES",EH458SF,Edinburgh & Lothians (EH45),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
11 Elm Court,,"CAVALRY PARK, PEEBLES",EH459BU,Edinburgh & Lothians (EH45),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Cherry Court Dental Care & Implant Clini,,"3 CHERRY COURT, CAVALRY PARK, PEEBLES",EH459BU,Edinburgh & Lothians (EH45),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Infinityblu Dental Care & Implant Clinic,,"7 KINGSMEADOWS ROAD, PEEBLES",EH459EN,Edinburgh & Lothians (EH45),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Macaulay Dental Practice,,"25/27 MARKET PLACE, WHITBURN",EH470EU,Edinburgh & Lothians (EH47),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
61 East Main Street,,"WHITBURN, WEST LOTHIAN",EH470RF,Edinburgh & Lothians (EH47),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
48 King Street,,"BATHGATE, WEST LOTHIAN",EH481AY,Edinburgh & Lothians (EH48),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Blue Sky Dental,,"24 WHITBURN ROAD, BATHGATE",EH481HH,Edinburgh & Lothians (EH48),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Bathgate Dental Spa,,"28 MID STREET, BATHGATE",EH481PT,Edinburgh & Lothians (EH48),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
64 South Bridge Street,,"BATHGATE, WEST LOTHIAN",EH481TL,Edinburgh & Lothians (EH48),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
3/4  Ochilview Square,,"ARMADALE, WEST LOTHIAN",EH483EP,Edinburgh & Lothians (EH48),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Smiles Plus,,"51A SOUTH STREET, ARMADALE",EH483ET,Edinburgh & Lothians (EH48),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
6 Torphichen Street,,"BATHGATE, WEST LOTHIAN",EH484HH,Edinburgh & Lothians (EH48),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
24 High Street,,"LINLITHGOW, WEST LOTHIAN",EH497AE,Edinburgh & Lothians (EH49),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
49A High Street,,"LINLITHGOW, WEST LOTHIAN",EH497ED,Edinburgh & Lothians (EH49),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Westport Dental Practice,,"261 HIGH STREET, LINLITHGOW",EH497EP,Edinburgh & Lothians (EH49),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
"Unit 4, 8 Springfield Court",,"LINLITHGOW, WEST LOTHIAN",EH497TQ,Edinburgh & Lothians (EH49),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
West Granton Dental Care,,"3 WATERFRONT BROADWAY, EDINBURGH",EH5 1SA,Edinburgh & Lothians (EH5),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
The Trinity Dentist,,"133 GRANTON ROAD, EDINBURGH",EH5 3NJ,Edinburgh & Lothians (EH5),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Rosemount Dental Centre,,"52 DEAN ROAD, BO'NESS",EH519BB,Edinburgh & Lothians (EH51),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Long & Gilmour,,"83-93 NORTH STREET, BO'NESS",EH519ND,Edinburgh & Lothians (EH51),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
40 East Main Street,,"BROXBURN, WEST LOTHIAN",EH525AE,Edinburgh & Lothians (EH52),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
29 West Main Street,,"UPHALL, WEST LOTHIAN",EH525DN,Edinburgh & Lothians (EH52),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
